gene,p-value,chrom
QKI,0.813,chr6
SFT2D1,0.0615,chr6
RPS6KA2,0.194,chr6
CEP43,0.333,chr6
CCR6,0.341,chr6
AFDN,5.1e-05,chr6
MICA,1e-06,chr6
HCP5,2e-06,chr6
ATP6V1G2-DDX39B,0.49,chr6
DDX39B,0.536,chr6
NFKBIL1,0.833,chr6
BAG6,0.154,chr6
CSNK2B,0.22,chr6
LY6G5B,0.176,chr6
C2-AS1,0.958,chr6
CFB,0.697,chr6
C2,0.949,chr6
SKIV2L,0.987,chr6
DXO,0.359,chr6
TNXB,0.386,chr6
FKBPL,0.405,chr6
TAP2,0.0756,chr6
HLA-DPA1,0.00368,chr6
HLA-DPB1,0,chr6
COL11A2,0.0537,chr6
LOC101929523,0.142,chr6
THBS2,0.0941,chr6
WDR27,0.725,chr6
FAM120B,0.427,chr6
PSMB1,0.188,chr6
PDCD2,0.91,chr6
NUP153,0.0133,chr6
KIF13A,0.718,chr6
KDM1B,0.0494,chr6
DEK,0.409,chr6
RNF144B,0.00482,chr6
ID4,0.00538,chr6
LOC105374971,0.0397,chr6
CASC15,0.0415,chr6
GPLD1,0.256,chr6
TDP2,0.697,chr6
ACOT13,0.0184,chr6
C6orf62,0.853,chr6
CMAHP,1e-06,chr6
CARMIL1,0.139,chr6
TRIM38,0.307,chr6
HFE,0.91,chr6
LOC105374985,0.163,chr6
H4C8,0.175,chr6
BTN3A2,0.171,chr6
BTN2A2,0.0578,chr6
BTN3A1,0.00133,chr6
ABT1,0.901,chr6
ZNF184,0.643,chr6
WRNIP1,0.888,chr6
GABBR1,1,chr6
HLA-F,0.254,chr6
LINC01011,0.17,chr6
NQO2,0.00667,chr6
NQO2-AS1,0.624,chr6
ZNRD1ASP,0.422,chr6
TRIM26,0.448,chr6
HTATSF1P2,0.175,chr6
LOC101927759,0.0747,chr6
HLA-L,0.38,chr6
HCG17,0.362,chr6
HCG18,0.429,chr6
TRIM39,0.91,chr6
TRIM39-RPP21,0.28,chr6
RPP21,0.187,chr6
MDC1-AS1,0.00107,chr6
MDC1,0.0013,chr6
FLOT1,0.753,chr6
IER3-AS1,0.0135,chr6
IER3,0.0155,chr6
DDR1,0.68,chr6
VARS2,0.102,chr6
CCHCR1,0.94,chr6
HLA-C,0.524,chr6
HLA-B,0,chr6
MICB,0.329,chr6
PRRC2A,0.00194,chr6
GPANK1,0.0471,chr6
CLIC1,0.97,chr6
EHMT2,0.421,chr6
PPT2-EGFL8,0.0234,chr6
EGFL8,0.912,chr6
RNF5,0.146,chr6
RXRB,0.0865,chr6
RING1,0.229,chr6
PHF1,0.752,chr6
SYNGAP1,0.0195,chr6
GGNBP1,0.146,chr6
BAK1,0.149,chr6
ITPR3,0.0111,chr6
UQCC2,0.0197,chr6
LEMD2,0.874,chr6
NUDT3,0.0155,chr6
RPS10-NUDT3,0.503,chr6
ILRUN,4.9e-05,chr6
UHRF1BP1,0.256,chr6
TAF11,0.386,chr6
SCUBE3,0.554,chr6
KCTD20,0.428,chr6
STK38,0.0848,chr6
PIM1,0.695,chr6
TBC1D22B,0.905,chr6
ZFAND3,0.979,chr6
BTBD9,0.364,chr6
SAYSD1,0.848,chr6
DAAM2,0.22,chr6
MOCS1,0.0091,chr6
FAM217A,0.724,chr6
PRPF4B,0.68,chr6
IRF4,0.188,chr6
OARD1,0.642,chr6
UNC5CL,0.645,chr6
NFYA,0.382,chr6
ADCY10P1,0.39,chr6
FOXP4,0.424,chr6
USP49,0.337,chr6
MED20,0.177,chr6
BYSL,0.651,chr6
BICRAL,0.602,chr6
RPL7L1,0.805,chr6
ZNF318,0.743,chr6
ABCC10,0.907,chr6
MAD2L1BP,0.855,chr6
VEGFA,0,chr6
RCAN2,0.391,chr6
CENPQ,0.712,chr6
RPP40,0.404,chr6
CILK1,0.485,chr6
ELOVL5,0.113,chr6
BEND6,0.0776,chr6
LINC00680,0.766,chr6
LINC00680-GUSBP4,0.764,chr6
CGAS,0.287,chr6
DDX43,0.181,chr6
EEF1A1,0.318,chr6
SENP6,0.55,chr6
BCKDHB,0.351,chr6
SNX14,0.00951,chr6
SYNCRIP,0.155,chr6
SNORD50A,6e-06,chr6
SNHG5,2e-06,chr6
GJB7,0.616,chr6
SMIM8,0.492,chr6
LINC01590,0.497,chr6
RARS2,0.112,chr6
UBE2J1,0.648,chr6
UFL1,0.713,chr6
WDR46,0.241,chr6
TAPBP,0.000925,chr6
DAXX,0.809,chr6
KIFC1,0.632,chr6
CUTA,0.149,chr6
SMIM29,0.979,chr6
ATG5,0.368,chr6
QRSL1,0.281,chr6
SNX3,0.624,chr6
SESN1,0.883,chr6
CEP57L1,0.79,chr6
DDO,0.269,chr6
SMIM13,0.684,chr6
LHFPL5,0.79,chr6
SRPK1,0.796,chr6
MAPK14,0.907,chr6
PPIL1,9.9e-05,chr6
PXDC1,0.0713,chr6
RNF8,0.0534,chr6
CMTR1,0.13,chr6
CCDC167,0.905,chr6
GLO1,0.649,chr6
DAAM2-AS1,0.288,chr6
TREM1,0.1087,chr6
MDFI,0.902,chr6
TFEB,0.798,chr6
PRICKLE4,0.224,chr6
TOMM6,0.271,chr6
MRPL14,0.937,chr6
TMEM63B,0.017,chr6
SLC29A1,1,chr6
LOC101926934,0.959,chr6
CD2AP,0.432,chr6
LYRM4,0.603,chr6
FARS2,0.0495,chr6
LRRC1,0.487,chr6
TMEM30A,0.144,chr6
ELOVL4,0.0014,chr6
TTK,0.402,chr6
UBE3D,0.754,chr6
RWDD2A,0.276,chr6
PDSS2,0.907,chr6
OSTM1,0.00475,chr6
CCN6,0,chr6
TUBE1,0.692,chr6
FAM229B,1e-06,chr6
CALHM6,0.835,chr6
ZUP1,0.469,chr6
KPNA5,0.363,chr6
ADTRP,0.876,chr6
DCBLD1,0.575,chr6
GOPC,0.586,chr6
LOC107986524,0.41,chr6
MCM9,0.0829,chr6
ASF1A,0.802,chr6
BVES,0.209,chr6
WASF1,0.556,chr6
CDC40,0.323,chr6
METTL24,0.292,chr6
CDK19,0.931,chr6
RPF2,0.0729,chr6
GJA1,0.53,chr6
HSF2,0.347,chr6
SMPDL3A,0.173,chr6
RNF217,0.583,chr6
HDDC2,0.192,chr6
TPD52L1,0.98,chr6
NCOA7,0.834,chr6
SOGA3,0.88,chr6
EPB41L2,0.953,chr6
AKAP7,0.316,chr6
SNORD100,0.675,chr6
PHACTR1,0.602,chr6
SLC2A12,1,chr6
TBPL1,0.032,chr6
RANBP9,0.76,chr6
IFNGR1,0.221,chr6
CITED2,0.17,chr6
LOC107986651,0.178,chr6
CD83,0.374,chr6
VTA1,0.551,chr6
ADGRG6,0.226,chr6
UTRN,0.792,chr6
ULBP3,0.0492,chr6
AKAP12,0.0782,chr6
ARMT1,0.1052,chr6
FBXO5,0.706,chr6
MTRF1L,0.566,chr6
ZDHHC14,0.639,chr6
TCP1,0.717,chr6
MRPL18,0.689,chr6
IGF2R,0.0309,chr6
SLC22A3,0.00359,chr6
AGPAT4,0.558,chr6
RNASET2,0.38,chr6
TBP,0.688,chr6
FAM8A1,0.0202,chr6
MBOAT1,0.382,chr6
GMDS-DT,0.0179,chr6
MRS2,0.208,chr6
H2BC5,1,chr6
BTN2A3P,0.0315,chr6
BTN2A1,0.0308,chr6
HCG11,0.934,chr6
HMGN4,0.584,chr6
ZKSCAN8,0.918,chr6
ZSCAN9,0.1,chr6
NKAPL,0.124,chr6
ZSCAN26,0.0187,chr6
PGBD1,0.634,chr6
ZSCAN12,0.0223,chr6
SERPINB9,0,chr6
SERPINB6,0.0263,chr6
DHX16,0.584,chr6
ATF6B,0.0731,chr6
AGPAT1,0.617,chr6
LOC100422781,0.0673,chr6
PSMG4,3e-06,chr6
SLC22A23,4e-06,chr6
PSMB8-AS1,0.349,chr6
PSMB9,0.384,chr6
TAP1,0.341,chr6
SLC39A7,0.0199,chr6
VPS52,0.98,chr6
RPS18,0.0002575,chr6
COL10A1,0.115,chr6
ANKS1A,0.572,chr6
RPL10A,0.268,chr6
TEAD3,0.428,chr6
BRPF3,0.176,chr6
SRSF3,0.0723,chr6
MTCH1,0.186,chr6
MDGA1,0.131,chr6
LYRM4-AS1,0.415,chr6
MCM3,0.468,chr6
TMEM30A-DT,0.0503,chr6
FILIP1,0.0506,chr6
MRAP2,0.000376666666666667,chr6
SLC35A1,0.589,chr6
ORC3,0.202,chr6
BACH2,0.487,chr6
MMS22L,0.122,chr6
SLC16A10,0.61,chr6
MFSD4B-DT,0.24,chr6
PTPRK-AS1,0.737,chr6
PTPRK,0.623,chr6
ENPP1,0,chr6
PEX7,0.485,chr6
ADAT2,0.592,chr6
TAB2,0.0943,chr6
SGK1,0.299,chr6
HEBP2,0.958,chr6
AIG1,0.93,chr6
RGS17,0.365,chr6
SERAC1,0.647,chr6
DYNLT1,0.969,chr6
MPC1,0.223,chr6
C6orf120,0.286,chr6
PHF10,0.344,chr6
TPMT,0.431,chr6
ALDH5A1,0.505,chr6
BTN3A3,0.907,chr6
ZNF391,0.6,chr6
ZSCAN16-AS1,0.313,chr6
HLA-F-AS1,0.154,chr6
HLA-G,0.971,chr6
POLR1H,0.794,chr6
GNL1,0.0231,chr6
VARS1,0.568,chr6
PSMB8,0.268,chr6
BRD2,0.554,chr6
ZNF76,0.534,chr6
PPARD,0.324,chr6
FANCE,0.822,chr6
LATS1,0.748,chr6
NUP43,0.92,chr6
PCMT1,0.882,chr6
LRP11,0.0265,chr6
PPP1R14C,0.1094,chr6
SCAF8,0.426,chr6
CCND3,0.372,chr6
TBCC,0.744,chr6
SLC35B2,0.673,chr6
SPATS1,0.318,chr6
TMEM151B,0.308,chr6
AARS2,0.361,chr6
RUNX2,0.3,chr6
BLOC1S5,0.528,chr6
SEC63,0.686,chr6
FOXO3,0.903,chr6
HDAC2,0.831,chr6
NUS1,0.314,chr6
TBC1D32,0.641,chr6
CENPW,0.717,chr6
CCDC28A,0.283,chr6
TXLNB,0.576,chr6
HECA,0.583,chr6
GTF2H5,0.924,chr6
CHP1P2,0.146,chr6
ERMARD,0.962,chr6
CDKAL1,0.31,chr6
H1-2,0.814,chr6
HLA-J,0.00348,chr6
PPP1R11,0.449,chr6
GTF2H4,0.416,chr6
ABHD16A,0.521,chr6
SNHG32,0.635,chr6
NEU1,0.762,chr6
STK19,0.584,chr6
PPT2,0.231,chr6
HLA-DMA,0.937,chr6
HLA-DMB,0.939,chr6
FRS3,0.0202,chr6
MEA1,0.0262,chr6
EEF1E1-BLOC1S5,0.637,chr6
EEF1E1,0.623,chr6
COQ3,0.153,chr6
ULBP1,0.017,chr6
TMEM242,0.651,chr6
LOC101928663,7.1e-05,chr6
ZKSCAN3,0.599,chr6
SERPINB1,0.055,chr6
ATAT1,0.253,chr6
RIPK1,0.538,chr6
CDKN1A,0.1019,chr6
C6orf89,0.228,chr6
KCNK5,0.0262,chr6
GCLC,0.298,chr6
MAP3K7,0.76,chr6
CCNC,0.768,chr6
GTF3C6,0.0731,chr6
SERINC1,0.0831,chr6
HINT3,0.171,chr6
LOC105377989,0.966,chr6
LOC105377993,0.966,chr6
LOC112267972,0.963,chr6
RSPO3,0.958,chr6
MOXD1,0.00014125,chr6
TBC1D7,0.45,chr6
MAP3K5-AS1,0.389,chr6
STX11,0.99,chr6
GINM1,0.236,chr6
LOC105374959,0.267,chr6
LOC107986579,0.01,chr6
SOX4,0.0111,chr6
ZKSCAN4,0.301,chr6
BPHL,0.303,chr6
ECI2,0.2,chr6
C6orf201,0.216,chr6
FAM20C,2e-06,chr7
DNAH11,0.00112,chr7
CDCA7L,0.0432,chr7
RAPGEF5,0.661,chr7
MAD1L1,0.0784,chr7
MRM2,0.469,chr7
SNX8,0.168,chr7
TOMM7,0.000755,chr7
FAM126A,0.242,chr7
KLHL7,0.618,chr7
NUP42,0.042,chr7
GPNMB,0.483,chr7
TRA2A,0.914,chr7
EIF3B,0.673,chr7
BRAT1,0.00778,chr7
IQCE,0.571,chr7
SNX10-AS1,0.183,chr7
SNX10,0.179,chr7
HOXA11-AS,0.665,chr7
HIBADH,0.486,chr7
TAX1BP1-AS1,0.361,chr7
TAX1BP1,0.362,chr7
CREB5,0.00659,chr7
CPVL,0.256,chr7
LOC646762,0.0292,chr7
DPY19L2P3,0.477,chr7
SCRN1,0.00629,chr7
FKBP14-AS1,0.768,chr7
FKBP14,0.794,chr7
PLEKHA8,0.394,chr7
ZNRF2,0.0398,chr7
NOD1,0.786,chr7
GARS1-DT,2e-06,chr7
GARS1,0.586,chr7
INMT-MINDY4,0.00347,chr7
AQP1,0.717,chr7
MINDY4,0.00318,chr7
PDE1C,0.275,chr7
AVL9,0.0334,chr7
BBS9,0.145,chr7
BMPER,7e-06,chr7
HERPUD2,0.588,chr7
HERPUD2-AS1,0.0551,chr7
ELMO1,0.14,chr7
STARD3NL,0.938,chr7
VPS41,0.904,chr7
GLI3,0.0345,chr7
STK17A,0.00182,chr7
COA1,0.0136,chr7
BLVRA,0.00115,chr7
URGCP-MRPS24,0.816,chr7
MRPS24,0.134,chr7
URGCP,0.0968,chr7
UBE2D4,0.158,chr7
POLR2J4,0.0455,chr7
RASA4CP,0.208,chr7
DBNL,0.0624,chr7
PGAM2,0.0401,chr7
POLM,0.0678,chr7
AEBP1,0.106,chr7
POLD2,0.759,chr7
YKT6,0.0566,chr7
ZMIZ2,0.182,chr7
IGFBP3,0.506,chr7
TNS3,0.857,chr7
PDGFA,0.203,chr7
RBAK-RBAKDN,0.296,chr7
RNF216P1,0.497,chr7
GRB10,0.568,chr7
RBAK,0.55,chr7
WIPI2,0.806,chr7
SEC61G,0.592,chr7
EGFR,0.72,chr7
EGFR-AS1,0.407,chr7
LANCL2,0.238,chr7
VOPP1,0.0242,chr7
NIPSNAP2,0.532,chr7
SUMF2,0.622,chr7
PMS2,0.0295,chr7
EIF2AK1,0.297,chr7
AIMP2,0.333,chr7
CYTH3,0.325,chr7
RAC1,0.39,chr7
DAGLB,0.33,chr7
ZNF680,0.842,chr7
KDELR2,0.544,chr7
ZNF138,0.0641,chr7
ERV3-1-ZNF117,0.987,chr7
ZNF117,0.842,chr7
ERV3-1,0.336,chr7
LOC441242,0.85,chr7
ZDHHC4,0.34,chr7
VKORC1L1,0.383,chr7
C7orf26,0.864,chr7
ZNF316,0.467,chr7
RABGEF1P1,0.199,chr7
KCTD7,0.203,chr7
RABGEF1,0.0593,chr7
TYW1,0.875,chr7
PMS2P4,0.163,chr7
STAG3L4,0.988,chr7
C1GALT1,0.195,chr7
NSUN5,0.808,chr7
FZD9,0.628,chr7
BAZ1B,0.193,chr7
DNAJC30,0.148,chr7
BUD23,0.887,chr7
STX1A,0.768,chr7
ELN,0.235,chr7
GTF2IRD1,0.554,chr7
MIOS,0.221,chr7
RHBDD2,0.662,chr7
POR,0.828,chr7
TMEM120A,0.997,chr7
STYXL1,0.839,chr7
MDH2,0.248,chr7
YWHAG,0.00019,chr7
DTX2,0.00154,chr7
LOC100133091,0,chr7
POMZP3,0,chr7
UMAD1,0.328,chr7
GSAP,8.8e-05,chr7
CCDC146,0.0287,chr7
APTR,0.805,chr7
MAGI2,0.377,chr7
MAGI2-AS3,0.00125,chr7
GNAI1,0.0194,chr7
GLCCI1,0.65,chr7
CACNA2D1,0.0744,chr7
SEMA3A,0,chr7
SUN1,0.0168,chr7
SLC25A40,0.609,chr7
DBF4,0.0725,chr7
PTTG1IP2,0.119,chr7
CLDN12,0.173,chr7
CDK14,0.661,chr7
MTERF1,0.0313,chr7
AKAP9,0.0557,chr7
CYP51A1,0.0293,chr7
ANKIB1,0.344,chr7
GATAD1,0.569,chr7
RBM48,0.154,chr7
CDK6,0.124,chr7
BET1,0.786,chr7
BET1-AS1,0.156,chr7
CASD1,0.718,chr7
SGCE,0.71,chr7
PON3,0.871,chr7
PON2,0.411,chr7
PDK4-AS1,0.00437,chr7
PDK4,0.00437,chr7
SLC25A13,0.0251,chr7
CZ1P-ASNS,0.0726,chr7
ASNS,0.07,chr7
LMTK2,0.595,chr7
TECPR1,0.737,chr7
BRI3,0,chr7
BAIAP2L1,0,chr7
LOC101927550,0.833,chr7
SMURF1,0.819,chr7
C7orf50,0.259,chr7
TRIM4,0.00088,chr7
ZKSCAN1,0.00602,chr7
ZSCAN21,0.288,chr7
ZNF3,0.769,chr7
COPS6,0.475,chr7
MCM7,0.752,chr7
STAG3,0.582,chr7
CASTOR3,0.593,chr7
PVRIG,0.642,chr7
ZCWPW1,0.601,chr7
GIGYF1,0.235,chr7
EPHB4,0.512,chr7
SLC12A9,0.342,chr7
TRIP6,0.111,chr7
SRRT,0.65,chr7
NUDCD3,0.992,chr7
TMED4,0.853,chr7
OGDH,0.107,chr7
TRIM56,0.216,chr7
SERPINE1,0.00055,chr7
IFT22,0.038,chr7
CUX1,0.586,chr7
ORAI2,0.267,chr7
ALKBH4,0.355,chr7
FAM185A,0.061,chr7
"NAPEPLD",0.969,chr7
DPY19L2P2,0.489,chr7
PMPCB,0.342,chr7
DNAJC2,0.24,chr7
ORC5,0.838,chr7
SYPL1,0.156,chr7
"NAMPT",0.0781,chr7
CTB-30L5.1,0.00349,chr7
CCDC71L,0.00404,chr7
PRKAR2B,0,chr7
HBP1,0.442,chr7
COG5,0.32,chr7
DUS4L,0.579,chr7
DUS4L-BCAP29,0.0678,chr7
BCAP29,0.107,chr7
CBLL1-AS1,0.144,chr7
CBLL1,0.111,chr7
LAMB1,0.494,chr7
IMMP2L,0.814,chr7
IFRD1,0.0585,chr7
MDFIC,0.757,chr7
TES,0.0252,chr7
LOC107986838,0.145,chr7
MET,0.0332,chr7
CAPZA2,0.478,chr7
CPED1,0.114,chr7
NDUFA5,0.1123,chr7
WASL,0.305,chr7
WASL-DT,0.627,chr7
LOC107986769,0.689,chr7
SCIN,0.545,chr7
ZNF800,0.761,chr7
RBM28,0.689,chr7
IMPDH1,0.948,chr7
HILPDA-AS1,0.324,chr7
HILPDA,0.357,chr7
METTL2B,0.0373,chr7
LOC101928451,0.571,chr7
TNPO3,0.149,chr7
STRIP2,0.931,chr7
NRF1,0.437,chr7
ZC3HC1,0.0183,chr7
KLHDC10,0.529,chr7
CEP41,0.0834,chr7
COPG2,0.0213,chr7
LINC00513,0.0798,chr7
LINC-PINT,0.0947,chr7
MKLN1,0.987,chr7
PODXL,0.111,chr7
CALD1,0.0801,chr7
CYREN,0.13,chr7
CNOT4,0.998,chr7
NUP205,0.0426,chr7
LOC105375521,0.49,chr7
STMP1,0.383,chr7
KIAA1549,0.885,chr7
HIPK2,0.0277,chr7
PARP12,0.315,chr7
KDM7A,9e-06,chr7
SLC37A3,0.677,chr7
MKRN1,0.551,chr7
DENND11,0.239,chr7
TCAF2,0.486,chr7
CUL1,0.52,chr7
PDIA4,0.6,chr7
LRRC61,0.0217,chr7
RARRES2,0.116,chr7
REPIN1-AS1,0.0653,chr7
ZNF775,0.0585,chr7
REPIN1,0.0729,chr7
SLC4A2,0.00478,chr7
AGAP3,0.114,chr7
ABCF2,0.0166,chr7
ABCF2-H2BE1,0.0192,chr7
CHPF2,0.65,chr7
SMARCD3,0.109,chr7
NUB1,0.848,chr7
WDR86,0.488,chr7
PRKAG2,0.617,chr7
PAXIP1-AS2,0.0107,chr7
PAXIP1,0.19,chr7
INSIG1,0.498,chr7
NOM1,0.612,chr7
UBE3C,0.803,chr7
DNAJB6,0.847,chr7
PSMG3-AS1,0.862,chr7
ESYT2,1e-06,chr7
DYNC2I1,0.404,chr7
ANKMY2,0.0493,chr7
BZW2,0.31,chr7
TSPAN13,0.934,chr7
AGR2,0.322,chr7
AHR,0.489,chr7
HDAC9,0.269,chr7
POLR1F,0.732,chr7
ITGB8,0.3,chr7
FAM221A,0.532,chr7
CHST12,0.72,chr7
PALS2,0.25,chr7
OSBPL3,0.573,chr7
C7orf31,0.859,chr7
HUS1,0.17,chr7
TNRC18,0.138,chr7
FBXL18,0.0571,chr7
FSCN1,0.523,chr7
RNF216,0.637,chr7
ZNF736,0.0701,chr7
ZNF107,0.397,chr7
LINC00174,0.533,chr7
TPST1,0.377,chr7
ZNF12,0.874,chr7
TMEM248,0.145,chr7
AUTS2,0.861,chr7
SBDSP1,0.888,chr7
RSBN1L,0.308,chr7
TMEM60,0.0226,chr7
SEMA3E,0.0191,chr7
SEMA3D,0.719,chr7
GET4,0.00984,chr7
TMEM243,0.104,chr7
STEAP2-AS1,0.611,chr7
STEAP1,0.652,chr7
STEAP2,0.0718,chr7
GTPBP10,0.469,chr7
FZD1,0.0136,chr7
KRIT1,0.0178,chr7
SAMD9,0.62,chr7
VPS50,0.0376,chr7
COL1A2,0.223,chr7
DLX6,0.079,chr7
DLX6-AS1,0.0737,chr7
SDHAF3,0.409,chr7
CCZ1P-OR7E38P,0.0731,chr7
ZKSCAN5,0.824,chr7
FAM200A,0.785,chr7
TMEM225B,0.1035,chr7
ZNF655,0.0985,chr7
PVRIG2P,0.106,chr7
STAG3L5P-PVRIG2P-PILRB,0.0653,chr7
GPR146,0.495,chr7
SRPK2,0.851,chr7
SLC26A4,0.0795,chr7
DLD,0.0155,chr7
GPER1,0.133,chr7
LOC101928012,0.0873,chr7
TMEM168,0.319,chr7
BMT2,0.391,chr7
LOC107986837,0.869,chr7
SMIM30,0.864,chr7
ZFAND2A,0.0639,chr7
LOC105375463,0.5,chr7
CAV2,0.799,chr7
CAV1,0.102,chr7
LSM8,0.475,chr7
TMEM106B,0.117,chr7
CADPS2,0.187,chr7
GCC1,0.229,chr7
UBE2H,0.0438,chr7
PLXNA4,0.376,chr7
EXOC4,0.443,chr7
TMEM140,0.519,chr7
FAM180A,0.319,chr7
CREB3L2,0.306,chr7
ETV1,0.861,chr7
ZC3HAV1L,0.694,chr7
KDM7A-DT,0.916,chr7
NDUFB2,0.226,chr7
BRAF,0.687,chr7
TCAF1,0.275,chr7
ZNF398,0.397,chr7
ZNF777,0.29,chr7
ZNF862,0.334,chr7
GIMAP2,0.694,chr7
ABCB8,0.513,chr7
AP4M1,0.73,chr7
AP1S1,0.4,chr7
FIS1,0.82,chr7
EMSLR,0.749,chr7
LOC100630923,0.172,chr7
PRKRIP1,0.193,chr7
FOXP2,0.683,chr7
KMT2C,0.00215,chr7
LINC01003,0.645,chr7
PAXIP1-DT,0.111,chr7
RBM33,0.424,chr7
LMBR1,0.0402,chr7
TMEM196,0.767,chr7
SP4,0.266,chr7
GSDME,0.107,chr7
HNRNPA2B1,0.242,chr7
AMZ1,0.259,chr7
GNA12,0.316,chr7
JAZF1,0.0714,chr7
MTURN,0.497,chr7
DPY19L1P1,0.507,chr7
LINC00997,0.633,chr7
KBTBD2,0.224,chr7
FKBP9,0.0601,chr7
RP9,0.173,chr7
DPY19L1,0.38,chr7
ANLN,0.7,chr7
EPDR1,0.813,chr7
SFRP4,0.814,chr7
AMPH,0.0328,chr7
YAE1,0.0447,chr7
CDK13,0.946,chr7
HECW1,0.151,chr7
LOC105375260,0.304,chr7
PPIA,0.29,chr7
H2AZ2,0.651,chr7
PURB,0.088,chr7
UPP1,0.914,chr7
FIGNL1,0.387,chr7
ACTB,0.97,chr7
ZNF713,0.918,chr7
PSPH,0.169,chr7
USP42,0.237,chr7
ZNF92,0.246,chr7
GTF2IRD1P1,0.348,chr7
PMS2CL,0.519,chr7
ABHD11,0.832,chr7
LIMK1,0.152,chr7
NSUN5P1,0.455,chr7
POM121C,0.12,chr7
PMS2P3,0.778,chr7
HIP1,0.699,chr7
FGL2,0.427,chr7
SEMA3C,0.0698,chr7
CFAP69,0.131,chr7
ING3,0.355,chr7
SAMD9L,0.0224,chr7
ADAP1,0.000173333333333333,chr7
COX19,0.000167142857142857,chr7
AZGP1,0.533,chr7
AGFG2,0.191,chr7
ATXN7L1,0.442,chr7
LSMEM1,0.209,chr7
ARL4A,0.433,chr7
SND1,0.711,chr7
TSPAN33,0.589,chr7
CPA4,0.0628,chr7
CPA1,0.0924,chr7
SLC13A4,0.384,chr7
TRIM24,0.783,chr7
ZC3HAV1,0.153,chr7
ZNF282,0.251,chr7
ZNF212,0.0232,chr7
ZNF783,0.00051,chr7
LOC155060,0.0111,chr7
ZNF746,0.193,chr7
ZNF767P,0.0758,chr7
KRBA1,0.415,chr7
LOC728743,0.504,chr7
TMEM176B,0.065,chr7
PRKAG2-AS1,0.308,chr7
RNF32,0.221,chr7
SNX13,0.872,chr7
STEAP1B,0,chr7
SKAP2,0.601,chr7
HOTAIRM1,0.806,chr7
HOXA3,0.321,chr7
HOXA-AS2,0.496,chr7
HOXA4,0.521,chr7
HOXA-AS3,0.255,chr7
HOXA5,0.224,chr7
HOXA13,0.359,chr7
LSM5,0.143,chr7
SUGCT,0.0121,chr7
INHBA,0.18,chr7
INHBA-AS1,0.485,chr7
MRPL32,0.59,chr7
SNHG15,0.0129,chr7
CCM2,0.943,chr7
TBRG4,0.996,chr7
AP5Z1,0.312,chr7
FAM220A,0.334,chr7
GUSB,0.643,chr7
ZNF853,0.667,chr7
CASTOR2,0.658,chr7
RCC1L,0.647,chr7
PTPN12,0.115,chr7
ELAPOR2,0.517,chr7
TAC1,0.124,chr7
TRRAP,0.0128,chr7
KMT2E,0.507,chr7
PUS7,0.561,chr7
RINT1,0.809,chr7
EFCAB10,0.794,chr7
PNPLA8,0.267,chr7
THAP5,0.269,chr7
DNAJB9,0.89,chr7
LOC105375456,0.799,chr7
SLC35B4,0.25,chr7
AKR1B1,0.236,chr7
TMEM213,0.481,chr7
CALU,0.606,chr7
OPN1SW,0.497,chr7
TMEM209,0.66,chr7
LOC101927668,0.32,chr7
MACC1,0.963,chr7
TTYH3,0.347,chr7
RP9P,0.236,chr7
C7orf25,0.701,chr7
PSMA2,0.56,chr7
DDX56,0.128,chr7
IGFBP1,0.296,chr7
ASL,0.0104,chr7
TBL2,0.522,chr7
DMTF1,0.727,chr7
SRI,0.13,chr7
STEAP4,0,chr7
ZYX,0.472,chr7
EZH2,0.746,chr7
GNGT1,0.474,chr7
TFPI2,0.444,chr7
DYNC1I1,0.274,chr7
SEM1,0.311,chr7
PHF14,0.434,chr7
ZNF277,0.346,chr7
ADCK2,0.185,chr7
SNHG26,0.495,chr7
NFE2L3,0.805,chr7
INTS1,0.512,chr7
LOC105375169,0.118,chr7
SEPTIN7,0.298,chr7
"NACAD",0.395,chr7
FOXK1,0.721,chr7
CCZ1B,0.672,chr7
TYW1B,0.239,chr7
STAG3L2,0.0455,chr7
DNAAF5,0.954,chr7
LAMTOR4,0.00373,chr7
TRAPPC14,0.00406,chr7
PMS2P1,0.181,chr7
STAG3L5P,0.00075,chr7
PILRB,0.118,chr7
PILRA,0.77,chr7
MEPCE,0.748,chr7
TSC22D4,0.505,chr7
PLOD3,0.657,chr7
ZNHIT1,0.794,chr7
CLDN15,0.614,chr7
TTC26,0.338,chr7
MICALL2,0.241,chr7
GALNT11,0.0384,chr7
GGCT,0.869,chr7
CCT6A,0.288,chr7
LOC101927354,0.499,chr7
POM121,0.0393,chr7
ICA1,0.394,chr7
ARPC1B,0.00249,chr7
ARPC1A,0.0608,chr7
PDAP1,0.703,chr7
BUD31,0.00779,chr7
PTCD1,0.00296,chr7
ATP5MF-PTCD1,0.941,chr7
CPSF4,0.615,chr7
ATP5MF,0.632,chr7
ZSCAN25,0.231,chr7
CYP3A5,0.079,chr7
LUZP6,0.125,chr7
FMC1-LUC7L2,0.639,chr7
FMC1,0.366,chr7
LUC7L2,0.0125,chr7
MEOX2,0.252,chr7
UBXN2B,0.753,chr8
NSMAF,0.103,chr8
RAB2A,0.368,chr8
ASPH,0.15,chr8
GGH,0.882,chr8
MCPH1,0.235,chr8
ARMC1,0.00357,chr8
MTFR1,0.479,chr8
PDE7A,0.735,chr8
MCPH1-AS1,0.636,chr8
AGPAT5,0.0678,chr8
ERICH1,0.204,chr8
DEFB1,0.0033,chr8
